refund_id,order_id,user_id,refund_date,refund_amount
1,30,7,2025-03-17,86.6
2,67,20,2025-03-05,41.09
3,128,35,2025-02-02,74.3
4,129,35,2025-02-13,226.46
5,154,41,2025-02-21,20.26
6,156,41,2025-03-05,139.78
7,280,70,2025-02-24,58.89
8,281,70,2025-03-03,181.43
9,285,71,2025-04-02,169.91
10,286,71,2025-04-01,14.07
11,313,81,2025-05-31,46.5
12,336,86,2025-03-09,37.73
13,362,93,2025-05-21,185.07
14,405,103,2025-05-21,49.43
15,435,107,2025-05-27,85.4
16,451,110,2025-05-13,159.57
17,462,112,2025-03-24,12.19
18,506,121,2025-02-16,103.88
19,527,124,2025-04-28,116.6
20,538,128,2025-05-27,131.99
21,539,128,2025-05-26,210.71
22,562,132,2025-03-24,61.02
23,563,132,2025-04-02,134.67
24,579,137,2025-03-26,101.33
25,634,149,2025-06-15,52.42
26,644,152,2025-02-22,57.95
27,649,154,2025-05-24,176.86
28,650,155,2025-02-23,75.64
29,654,157,2025-01-25,112.2
30,684,163,2025-04-21,134.36
31,739,175,2025-05-02,54.72
32,744,176,2025-05-27,191.58
33,747,177,2025-01-26,121.66
34,754,181,2025-04-15,79.67
35,756,182,2025-02-10,134.3
36,773,185,2025-06-25,169.7
37,798,194,2025-03-12,63.69
38,799,194,2025-03-27,74.78
39,816,199,2025-03-26,73.29
40,840,205,2025-03-21,33.58
41,882,215,2025-04-03,120.41
42,901,221,2025-05-25,84.2
43,917,227,2025-03-28,107.92
44,918,227,2025-04-02,96.89
45,930,230,2025-04-18,165.24
46,939,232,2025-03-31,36.61
47,966,243,2025-02-24,50.49
48,968,244,2025-02-28,236.4
49,981,248,2025-04-16,14.4
50,990,251,2025-04-21,21.83
51,1008,256,2025-07-03,66.05
52,1044,265,2025-04-21,58.91
53,1063,273,2025-05-21,34.5
54,1065,275,2025-02-18,19.52
55,1077,279,2025-03-11,141.67
56,1080,280,2025-05-03,104.86
57,1140,292,2025-05-29,73.49
58,1152,295,2025-02-06,200.31
59,1154,295,2025-02-19,152.84
60,1176,302,2025-04-02,187.88
61,1198,307,2025-04-27,114.86
62,1241,317,2025-04-03,32.97
63,1257,322,2025-05-08,46.06
64,1277,326,2025-07-12,212.04
65,1282,328,2025-05-01,29.29
66,1301,333,2025-02-27,17.19
67,1302,333,2025-03-04,82.04
68,1303,334,2025-04-01,193.9
69,1316,337,2025-06-05,78.18
70,1332,341,2025-04-28,14.52
71,1333,341,2025-05-01,90.88
72,1334,342,2025-03-30,123.85
73,1344,344,2025-03-05,82.14
74,1402,354,2025-05-15,63.05
75,1429,361,2025-02-21,44.7
76,1442,365,2025-04-06,57.73
77,1453,367,2025-02-28,53.96
78,1454,367,2025-03-11,84.93
79,1455,367,2025-03-02,30.96
80,1486,377,2025-03-14,63.76
81,1499,379,2025-04-25,41.7
82,1500,379,2025-04-25,206.01
83,1535,385,2025-05-11,110.6
84,1544,388,2025-04-20,81.99
